-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,48,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,61,54,60,-1,-1,-1,-1,-1,54,60,54,-1,-1,-1,-1,-1,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,48,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,61,60,-1,-1,-1,-1,-1,-1,60,54,48,48,54,60,54,54,48,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,48,48,48,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,61,54,-1,-1,48,48,60,60,59,51,58,49,60,60,48,48,62,54,54,48,60,-1,-1,-1,-1,55,48,60,48,55,-1,-1,-1,54,-1,-1,-1,54,-1,-1,-1,55,60,48,55,60,60,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,55,53,-1,-1,48,54,60,60,54,54,48,54,60,60,54,49,50,59,48,60,60,54,-1,-1,-1,-1,60,60,55,48,55,-1,-1,-1,54,-1,-1,-1,60,-1,-1,-1,60,60,48,55,60,54,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,48,57,60,59,49,50,51,52,54,54,54,54,54,54,-1,54,54,60,54,-1,54,-1,-1,-1,-1,-1,48,55,54,60,60,-1,-1,-1,59,-1,-1,-1,54,-1,54,-1,48,54,60,54,48,54,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,48,55,48,48,55,55,48,60,55,48,55,48,48,55,-1,-1,-1,-1,-1,-1,60,55,55,60,48,55,-1,-1,-1,-1,-1,-1,-1,54,-1,60,-1,60,48,54,54,48,54,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,62,55,55,60,48,48,60,48,48,55,55,60,48,55,-1,-1,-1,-1,-1,-1,48,60,55,48,48,60,-1,-1,-1,-1,-1,-1,-1,55,-1,60,-1,48,55,54,-1,55,54,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,62,60,60,48,60,59,55,50,60,56,57,55,51,-1,-1,-1,-1,-1,-1,55,54,48,60,48,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,55,-1,60,55,54,-1,54,55,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,55,58,60,-1,-1,-1,-1,-1,-1,48,55,55,54,60,48,-1,-1,-1,-1,-1,-1,-1,48,-1,54,-1,60,54,54,-1,60,60,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
